"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"27",대구광역시,"27260",대구광역시 수성구,"2206063 ",중동,"2018","2018",-43.99,5,-4.56,1,79.54
"27",대구광역시,"27260",대구광역시 수성구,"2206053 ",범어3동,"2018","2018",-30.35,1,-0.08,1,64.89
"27",대구광역시,"27260",대구광역시 수성구,"2206068 ",지산2동,"2017","2017",-24.43,5,1.58,2,77.68
"27",대구광역시,"27260",대구광역시 수성구,"2206054 ",범어4동,"2017","2017",-26.41,3,-4.4,2,77.94
"27",대구광역시,"27260",대구광역시 수성구,"2206055 ",만촌1동,"2016","2016",-10.95,4,4.83,0,75.58
"27",대구광역시,"27260",대구광역시 수성구,"2206068 ",지산2동,"2013","2013",-18.04,5,0.6,0,57.86
"27",대구광역시,"27260",대구광역시 수성구,"2206057 ",만촌3동,"2013","2013",6.28,4,-1.47,1,81.53
"27",대구광역시,"27260",대구광역시 수성구,"2206071 ",고산1동,"2014","2014",-8.2,3,-1.57,1,21.92
"27",대구광역시,"27260",대구광역시 수성구,"2206060 ",수성4가동,"2014","2014",0.76,4,-0.73,1,63.62
"46",전라남도,"46730",전라남도 구례군,"3633036 ",용방면,"2017","2017",-60.22,1,-4.55,2,70.78
"46",전라남도,"46730",전라남도 구례군,"3633035 ",광의면,"2017","2017",-62.49,1,-11.22,2,70.23
"46",전라남도,"46730",전라남도 구례군,"3633011 ",구례읍,"2017","2017",-38.08,1,-1.72,1,66.82
"46",전라남도,"46730",전라남도 구례군,"3633036 ",용방면,"2019","2019",-60.22,2,-9.09,3,68.73
"46",전라남도,"46730",전라남도 구례군,"3633011 ",구례읍,"2014","2014",-48.96,1,-13.29,3,60.32
"47",경상북도,"47111",경상북도 포항시 남구,"3701159 ",대이동,"2018","2018",,,-0.1,2,28.87
"48",경상남도,"48310",경상남도 거제시,"3809061 ",장승포동,"2017","2017",-92.47,1,0,1,69.73
"48",경상남도,"48310",경상남도 거제시,"3809053 ",능포동,"2019","2019",-8.73,5,-8.47,2,66.17
"48",경상남도,"48310",경상남도 거제시,"3809034 ",거제면,"2019","2019",-41,2,5.53,1,63.19
"48",경상남도,"48310",경상남도 거제시,"3809033 ",남부면,"2019","2019",-60.99,5,7,0,59.4
"48",경상남도,"48310",경상남도 거제시,"3809060 ",수양동,"2016","2016",31.1,1,23.49,0,29.66
"48",경상남도,"48310",경상남도 거제시,"3809039 ",장목면,"2016","2016",-59.27,1,15.63,1,63.85
