"자치구별(1)",자치구별(2),2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소),계획연장 (m),시설연장 (m),보급률 (%),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),합류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),분류식 (m),맨홀 (개소),오수받이 (개소),토실·토구 (개소)
"자치구별(1)",자치구별(2),소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,계획면적 (㎢),오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,계획면적 (㎢),오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,계획면적 (㎢),오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,계획면적 (㎢),오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,계획면적 (㎢),오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,계획면적 (㎢),오수관거,오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,계획면적 (㎢),오수관거,오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,계획면적 (㎢),오수관거,오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계,소계,소계,소계,계획면적 (㎢),계획연장,시설연장,사각형 암거,원형 암거,개거,측구,계획면적 (㎢),오수관거,오수관거,오수관거,오수관거,우수관거,우수관거,우수관거,우수관거,우수관거,우수관거,소계,소계,소계
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,원형 암거,계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,사각형 암거,원형 암거,계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,사각형 암거,원형 암거,계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,사각형 암거,원형 암거,계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,계획연장,시설연장,사각형 암거,원형 암거,계획연장,시설연장,사각형 암거,원형 암거,개거,측구,소계,소계,소계
"합계",관악구,393040,393040,100.0,15.9,393040,393040,32970,352956,3798,3316,8032,23416,393194,393194,100.0,15.9,393194,393194,32970,353092,3798,3334,8046,23459,393339,393339,100.0,15.9,393339,393339,33095,355055,3798,1391,8094,23620,393282,393282,100.0,15.9,393282,393282,33095,355055,3798,1334,8094,23653,392963,392963,100.0,15.9,392963,392963,33095,354736,3798,1334,8081,23713,394297,394297,100.0,15.9,394297,394297,33221,355690,3878,1508,8135,24003,401234,401234,100.0,15.9,399999,399999,37968,362032,1235,1235,1097,138,10243,21721,401168,401168,100.0,15.9,399035,399035,37470,361564,859,859,859,1274,1274,120,1016,138,10276,22485,183,406730,406730,100.0,15.9,403912,403912,36214,367624,73,1617,1617,1617,1201,1201,120,943,138,10795,23439,154,409135,409135,100.0,19.4,406460,406460,36535,369852,73,0.8,1579,1579,1579,1096,1096,943,153,10963,23839,155,406168,406168,100.0,14.8,403259,403259,37245,365941,73,0.2,1623,1623,1623,1286,1286,899,388,10992,24386,157,408058,408058,100.0,19.4,405031,405031,39331,365627,73,0.7,1640,1640,1640,1387,1387,20,870,496,10996,24407,157,432941,432941,100.0,19.0,405031,420800,42955,377771,73,1.0,1762,1762,1762,10380,10380,8329,684,870,496,11360,24880,273,408058,433195,100.0,19.0,405031,421053,42953,378027,73,1.0,1640,1762,1762,1387,10380,8329,684,870,496,11369,24909,273,433404,433404,100.0,19.4,419133,419133,42949,376110,73,0,0.7,1762,1762,0,1762,12510,12510,8329,2819,866,496,11117,23700,273,431069,431069,100.0,19.4,415280,415280,42976,372231,73,-,0.7,13471,13471,8329,5142,2318,2318,-,956,866,496,11613,26260,272,432341,432341,100.0,19.4,415599,415599,43348,372178,73,-,0.7,13471,13471,8329,5142,3272,3272,-,1909,866,496,11772,26536,275,432454,432454,100.0,19.4,419609,419609,43165,376370,73,-,0.7,10176,10176,8329,1847,2669,2669,-,1453,861,356,12177,28687,278
