시군구코드,연도,시군구명,노령화지수(인구총조사),노령화지수(인구총조사)등급,인구순이동률,인구순이동률등급,인구변화율(인구총조사),인구변화율(인구총조사)등급,평균교육년수,평균교육년수등급,독거노인가구비율,독거노인가구비율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급,소년소녀가장(천인당),소년소녀가장(천인당)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계)등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사)등급,노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,세입자가구비율,세입자가구비율등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,고차산업종사자비율,고차산업종사자비율등급,재정자립도,재정자립도등급,지방세액(1인당),지방세액(1인당)등급,지가변동률(주거),지가변동률(주거)등급,지가변동률(상업),지가변동률(상업)등급,의료보험료,의료보험료등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,공가율,공가율등급,부동산공시지가,부동산공시지가등급,노후건축물비율,노후건축물비율등급,소형주택비율,소형주택비율등급,주거면적(1인당),주거면적(1인당)등급,주택보급율,주택보급율등급,접도율,접도율등급
11440,2024,서울특별시 마포구,,,-0.592667196,5,,,,,,,,,,,186.7602368,3,-0.626895465,6,,,59612,6,,,22.0878445,3,,,,,269886,7,,,,,,,,,27.98,7,,,0.267,9,0.364,10,,,,,,,,,,,,,,,,,77.97525309,7,,,,,2.405142615,5,76.20449416,7,,,,,,,37.01277837,7
11470,2024,서울특별시 양천구,,,-1.024651025,4,,,,,,,,,,,169.8385798,3,-1.158641188,5,,,80174,7,,,26.40812132,3,,,,,303596,7,,,,,,,,,21.59,6,,,0.226,8,0.228,8,,,,,,,,,,,,,,,,,77.85351814,7,,,,,1.204579584,3,78.92201144,8,,,,,,,40.52015364,8
11500,2024,서울특별시 강서구,,,-1.195855232,4,,,,,,,,,,,218.6774871,3,-1.223142198,5,,,107246,9,,,26.81941173,3,,,,,399882,9,,,,,,,,,19.43,6,,,0.167,7,0.266,9,,,,,,,,,,,,,,,,,76.75311632,6,,,,,1.143812,3,74.48566985,7,,,,,,,29.46698191,6
11530,2024,서울특별시 구로구,,,-1.131465934,4,,,,,,,,,,,236.6823441,5,-1.079496948,5,,,82027,8,,,30.21419231,3,,,,,271485,7,,,,,,,,,19.94,6,,,0.117,6,0.076,5,,,,,,,,,,,,,,,,,79.86030268,7,,,,,5.324212111,5,79.60677459,8,,,,,,,36.74205831,7
11545,2024,서울특별시 금천구,,,-0.872716614,4,,,,,,,,,,,315.45168,5,-1.02074459,5,,,47037,6,,,28.81974867,3,,,,,163211,6,,,,,,,,,22.02,6,,,0.095,5,0.083,6,,,,,,,,,,,,,,,,,80.40793413,7,,,,,1.686448509,3,78.72936109,8,,,,,,,29.80919297,6
11560,2024,서울특별시 영등포구,,,-0.36546246,5,,,,,,,,,,,214.2950902,3,-0.272416314,6,,,68568,7,,,25.09736172,3,,,,,273208,7,,,,,,,,,35.17,8,,,0.213,8,0.313,10,,,,,,,,,,,,,,,,,85.65365669,8,,,,,0.112996124,3,83.64248731,8,,,,,,,31.77886831,7
11590,2024,서울특별시 동작구,,,-0.749070647,5,,,,,,,,,,,236.38519,5,-0.78411908,5,,,72783,7,,,26.73624121,3,,,,,272226,7,,,,,,,,,28.41,7,,,0.178,7,0.163,7,,,,,,,,,,,,,,,,,80.29754999,7,,,,,1.595032286,3,79.89886907,8,,,,,,,21.49979009,5
11620,2024,서울특별시 관악구,,,-0.655487932,5,,,,,,,,,,,341.6069145,6,-0.859829528,5,,,88138,8,,,24.22218741,3,,,,,363873,8,,,,,,,,,17.72,5,,,0.112,6,0.26,9,,,,,,,,,,,,,,,,,78.93669547,7,,,,,1.231907539,3,78.14949076,8,,,,,,,20.04253057,5
11650,2024,서울특별시 서초구,,,0.091337395,6,,,,,,,,,,,138.7914467,3,0.174653636,6,,,68606,7,,,23.62961917,3,,,,,290339,7,,,,,,,,,53.16,10,,,0.429,10,0.417,10,,,,,,,,,,,,,,,,,65.59637857,5,,,,,4.140376459,5,70.41284404,6,,,,,,,41.48849403,8
11680,2024,서울특별시 강남구,,,2.133149127,9,,,,,,,,,,,139.2565135,3,2.288973761,9,,,91291,8,,,22.79437101,3,,,,,400498,9,,,,,,,,,56.08,10,,,0.457,10,0.393,10,,,,,,,,,,,,,,,,,74.16819013,6,,,,,5.690350512,5,72.69773487,7,,,,,,,34.2401558,7
