cell_id,ix,iy,cell_area_m2,impervious_area,impervious_ratio,veg_area,veg_ratio,elev_mean,elev_min,slope_mean,slope_max,flood_area,flood_ratio,flood_label,flood_proba
0_0,0,0,9983.465412618658,0.0,0.0,0.0,0.0,164.6988759358724,140.664306640625,24.443611579855844,29.100990395463427,0.0,0.0,0,0.0
0_1,0,1,9983.34741672177,0.0,0.0,0.0,0.0,138.47127838134764,119.20931243896484,21.28904273445884,23.30692012884887,0.0,0.0,0,0.0
0_2,0,2,9983.229418301527,0.0,0.0,0.0,0.0,119.9145393371582,110.56836700439452,18.734730388195217,22.3331487579699,0.0,0.0,0,0.0
0_3,0,3,9983.11141727584,0.0,0.0,0.0,0.0,92.45751647949218,83.76615142822266,17.908989205375697,22.742471136842852,0.0,0.0,0,0.0
0_4,0,4,9982.993413783748,0.0,0.0,0.0,0.0,68.05960464477539,51.66767120361328,21.737538472256347,34.86111762741314,0.0,0.0,0,0.0
0_5,0,5,9982.875407843288,0.0,0.0,0.0,0.0,43.06874237060547,38.3005256652832,6.625270709168923,9.71319494781177,0.0,0.0,0,0.0027269117179660185
0_6,0,6,9982.75739937368,0.0,0.0,0.0,0.0,32.980086135864255,31.28917694091797,3.985890707810662,7.608461488196594,0.0,0.0,0,0.0027269117179660185
0_7,0,7,9982.6393885078,0.0,0.0,0.0,0.0,30.465037727355956,29.214035034179688,2.0654015361269433,2.9747097941707445,0.0,0.0,0,0.003136797956495657
0_8,0,8,9982.521375024602,0.0,0.0,0.0,0.0,31.44033762613932,28.7512264251709,4.054572788675057,7.169461092629302,0.0,0.0,0,0.005863709674461676
0_9,0,9,9982.403359064672,0.0,0.0,0.0,0.0,34.47881546020508,33.1578254699707,3.6184825024717746,6.817012597697652,0.0,0.0,0,0.008753356968569074
0_10,0,10,9982.285340627071,0.0,0.0,0.0,0.0,44.05557098388672,41.44319534301758,7.212944805873184,9.42429013156936,0.0,0.0,0,0.0
0_11,0,11,9982.167319688691,0.0,0.0,0.0,0.0,58.33790626525879,49.287017822265625,16.376031035521237,22.158047399868817,0.0,0.0,0,0.0
0_12,0,12,9982.04929636027,0.0,0.0,0.0,0.0,62.343682861328126,45.465850830078125,14.099128281057885,24.099527053932476,0.0,0.0,0,0.0
0_13,0,13,9981.931270396632,0.0,0.0,0.0,0.0,44.52833023071289,40.48562240600586,5.983674845301444,11.341319671962918,0.0,0.0,0,0.0027269117179660185
0_14,0,14,9981.813242060452,0.0,0.0,0.0,0.0,46.4574333190918,39.02716064453125,9.049952174275056,12.808375321351264,0.0,0.0,0,0.0
0_15,0,15,9981.69521104361,0.0,0.0,0.0,0.0,52.33644104003906,35.081085205078125,13.684650843416174,25.48650774166977,0.0,0.0,0,0.0
0_16,0,16,9981.577177747153,0.0,0.0,0.0,0.0,39.07523727416992,32.53013610839844,12.274387448442118,32.12531752757876,0.0,0.0,0,0.0060672187590851
0_17,0,17,9981.459141856636,0.0,0.0,0.0,0.0,37.16193046569824,34.23577880859375,3.6206339494287674,5.110291633746917,0.0,0.0,0,0.008753356968569074
