시군구코드,읍면동코드,연도,시군구명,읍면동명,인구변화율(인구총조사),인구변화율(인구총조사)등급,노령화지수(인구총조사),노령화지수(인구총조사)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,소형주택비율,소형주택비율등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계),고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사),노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,고차산업종사자비율,고차산업종사자비율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,부동산공시지가,부동산공시지가등급,접도율,접도율등급,노후건축물비율,노후건축물비율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급
11110,11010690,2022,서울특별시 종로구,창신3동,,,,,143.1229648,5,2.940559441,5,6.539833532,5,21.24360366,5,75.63580875,6,31.12582781,9,0,3,-1.91634981,5,235.4048964,7,,,1250,7,,,26.77806341,7,,,4668,4,-3.304178814,4,21.28777924,9,4.161712247,5,284,5,286,3,2982295.064,7,31.54506438,7,75.30864198,5,51.5625,10,8,6,,
11110,11010700,2022,서울특별시 종로구,숭인1동,,,,,309.4123765,5,2.463662791,3,45.60471976,9,53.56214249,5,68.80907372,5,70.7044108,5,6.175173283,5,-1.164982011,5,329.5081967,6,,,1206,7,,,28.73481058,7,,,4197,4,12.15686275,9,-5.103668262,4,4.12979351,5,773,5,688,3,3558966.89,8,27.29306488,6,77.89699571,4,-5.85106383,5,0.429184549,5,,
11110,11010710,2022,서울특별시 종로구,숭인2동,,,,,543.4893443,6,2.45248227,3,19.52959321,6,144.4886306,6,90.08183306,8,73.65010799,5,1.440261866,3,1.74291939,6,473.4072022,6,,,1709,7,,,22.08866486,7,,,7737,5,-4.044630404,4,-0.689398174,5,13.34104492,10,1417,5,2115,6,3195651.972,8,33.41067285,7,77.82162589,4,-2.76854928,5,6.282722513,6,,
11110,11010720,2022,서울특별시 종로구,청운효자동,,,,,463.7082903,5,3.658263305,5,2.603369066,3,58.13553492,5,74.03343783,6,73.87387387,5,1.541274817,3,-2.92202371,5,175.020475,7,,,2137,6,,,25.84038694,7,,,8270,5,-0.376825247,5,-31.36456212,4,3.292496172,5,761,5,1428,5,3248109.055,8,28.5448752,6,64.80519481,6,-4.098360656,5,-1.785714286,5,,
11110,11010730,2022,서울특별시 종로구,혜화동,,,,,481.1373351,5,3.775479314,6,0.454363223,3,50.11460076,5,73.14638783,6,74,5,4.182509506,5,-1.464933162,5,247.2273567,7,,,2675,5,,,21.59696431,7,,,12386,6,-1.108033241,5,-0.753897266,5,5.185086195,6,2624,6,1982,6,3356985.111,8,24.1419295,5,75.86821015,5,6.989247312,7,-5,5,,
11140,11020520,2022,서울특별시 중구,소공동,,,,,29543.22638,10,12.95543393,10,0.261013881,3,4102.495544,10,91.68,8,76.09329446,5,25.12,8,-0.266666667,6,115.6950673,7,,,258,8,,,14.63414634,8,,,1763,4,2.800829876,6,3.123493086,6,31.55250453,10,19551,10,5116,10,13897924.51,10,5.369649805,2,70.34632035,5,-1.768607222,5,0,5,,
11140,11020540,2022,서울특별시 중구,회현동,,,,,11046.21479,10,5.578262321,7,1.673214606,3,3913.072183,10,48.0878187,2,68.58333333,6,4.320113314,5,-5.016722408,5,451.2635379,6,,,1250,7,,,41.43188598,6,,,3017,4,0.372768295,5,7.94640745,7,18.95179786,10,17781,10,8989,10,14895194.82,10,10.16866292,3,73.33333333,5,-3.261653918,5,3.149606299,6,,
11140,11020550,2022,서울특별시 중구,명동,,,,,39413.65462,10,12.81362773,10,1.158955735,3,4054.399416,10,17.42081448,1,78.35348302,5,2.262443439,5,-5.027739251,5,559.5419847,5,,,733,8,,,39.09333333,6,,,1875,4,-2.68485439,5,-2.607267872,5,30.62755924,10,29379,10,8424,10,35864079.26,10,12.92592593,3,70.2247191,5,-7.491486947,5,-5.734767025,5,,
11140,11020570,2022,서울특별시 중구,필동,,,,,5690.661968,10,7.113070866,8,14.86893376,6,354.643846,9,65.60424967,5,58.46153846,7,23.63877822,8,-1.242853592,5,359.0163934,6,,,876,7,,,30.70452156,7,,,2853,4,-4.131102765,4,3.596957478,6,5.627878144,6,4127,7,3175,8,9239330.905,10,22.71023032,5,70.02497918,5,-6.712962963,5,0.094073377,5,,
11140,11020580,2022,서울특별시 중구,장충동,,,,,1587.617589,7,8.189988623,9,5.209056813,3,279.1511704,8,84.49868074,7,63.63636364,6,5.408970976,5,-0.413943355,6,350.4098361,6,,,855,7,,,24.62557604,7,,,3472,4,-1.1826953,5,-13.65853659,4,2.847617725,5,2246,6,879,5,6928660.332,10,19.4589309,5,76.17354196,5,-6.834532374,5,8.181818182,6,,
11140,11020590,2022,서울특별시 중구,광희동,,,,,3108.035371,10,3.399326032,5,26.46840149,7,558.4390619,10,67.65267176,5,30.55555556,9,25.76335878,8,-1.008563273,5,582.8877005,5,,,1090,7,,,27.77070064,7,,,3925,4,-5.177993528,4,-2.77226532,5,5.41511772,6,4272,7,4748,9,13294641.62,10,17.62711864,4,63.96852164,6,-1.740947075,5,-0.407124682,5,,
11140,11020600,2022,서울특별시 중구,을지로동,,,,,18704.99699,10,3.449317198,5,23.46143942,7,4105.358218,10,75.87412587,6,66.27296588,6,0,3,-4.430379747,5,687.8787879,5,,,454,8,,,39.78965819,6,,,1141,4,-1.145117635,5,-0.750702786,5,11.58104802,9,7289,8,9007,10,17131534.8,10,10.93104544,3,52.9562982,7,-8.69689193,4,-3.306010929,5,,
11140,11020650,2022,서울특별시 중구,신당5동,,,,,360.1178782,5,2.417879418,3,26.74118659,7,79.76424361,6,83.68771818,7,72.36084453,5,29.41923199,9,-1.765897906,5,250,7,,,1860,6,,,24.55121436,7,,,7576,5,-5.666108085,4,-4.853361017,4,6.448839209,7,933,5,1443,5,7008180.845,10,29.86317668,6,79.22874671,4,4.819277108,6,2.280130293,6,,
11140,11020670,2022,서울특별시 중구,황학동,,,,,423.2783243,5,2.278926529,3,9.227799228,5,196.6042526,7,76.82714617,6,42.89340102,8,8.845707657,6,0.22264631,6,223.1359649,7,,,2035,6,,,21.07279693,7,,,9657,5,0.768156425,5,-6.828501572,4,5.540540541,6,2478,6,2273,6,7212856.366,10,25,6,79.53995157,4,-3.531179564,5,-3.862660944,5,,
11140,11020680,2022,서울특별시 중구,중림동,,,,,631.8594388,6,6.214524207,8,2.02820685,3,102.0068282,6,88.26043238,8,73.69402985,5,6.485671192,5,-0.21603656,6,164.6837349,7,,,2187,6,,,25.74758653,7,,,8494,5,-2.110249785,5,-15.47287513,4,10.79919409,9,1575,5,1198,5,5049845.583,10,21.99029126,5,79.81269511,4,-6.606606607,5,-6.451612903,5,,
